260708-15:19:18.666392 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260708-15:19:18.669697 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260708-15:19:18.670238 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260708-15:19:18.676465 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260708-15:19:18.681459 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260708-15:19:18.681704 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:XHC3_8.4p1s1_PROD_sdy
260708-15:19:18.684150 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260708-15:34:18.640864 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260708-15:34:18.641181 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260708-15:34:18.641276 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:3c:62:f0:3a:f5:a7
260708-15:34:18.645624 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260708-15:34:18.650103 [mod=RTMESSAGE, lvl=INFO] [tid=2223] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260708-15:34:18.650678 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260708-15:34:18.654847 [mod=RTMESSAGE, lvl=INFO] [tid=2247] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260708-15:34:18.659471 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260708-15:34:18.659724 [mod=RDKCPROVIDER, lvl=INFO] [tid=2223] device info get value:XHC3_8.4p1s1_PROD_sdy
