260706-17:07:22.855454 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-17:10:11.677881 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-17:10:11.787163 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-17:16:17.709949 [mod=RTMESSAGE, lvl=INFO] [tid=2329] CameraServiceProvider_setHandler Device.X_RDKCENTRAL-COM_Camera.Thumbnail.Upload.ActiveUploadDuration

260706-17:16:17.835675 [mod=RTMESSAGE, lvl=INFO] [tid=2329] Stopping threads
260706-17:22:22.863488 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-17:22:22.864184 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-17:22:22.864303 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-17:22:22.872756 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-17:22:22.883481 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-17:22:22.884018 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-17:22:22.888532 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-17:22:22.892668 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-17:22:22.892913 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-17:22:22.895259 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-17:37:22.855538 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-17:37:22.855853 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-17:37:22.855943 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-17:37:22.869624 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-17:37:22.875546 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-17:37:22.876087 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-17:37:22.880964 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-17:37:22.886199 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-17:37:22.886445 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-17:37:22.889840 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-17:52:22.877649 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-17:52:22.877962 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-17:52:22.878051 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-17:52:22.882071 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-17:52:22.884833 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-17:52:22.885363 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-17:52:22.887879 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-17:52:22.898667 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-17:52:22.898915 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-17:52:22.901805 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-18:07:22.888084 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-18:07:22.888398 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-18:07:22.888493 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-18:07:22.893116 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-18:07:22.896216 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-18:07:22.910818 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-18:07:22.914104 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-18:07:22.917736 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-18:07:22.917982 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-18:07:22.920463 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-18:22:22.870551 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-18:22:22.870859 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-18:22:22.870956 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-18:22:22.876120 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-18:22:22.886922 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-18:22:22.887463 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-18:22:22.898840 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-18:22:22.905919 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-18:22:22.906169 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-18:22:22.912776 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-18:37:22.832687 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-18:37:22.832913 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-18:37:22.832989 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-18:37:22.836071 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-18:37:22.839216 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-18:37:22.839746 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-18:37:22.842101 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-18:37:22.856826 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-18:37:22.857078 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-18:37:22.864575 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-18:52:22.904720 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-18:52:22.905035 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-18:52:22.905127 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:3c:62:f0:3a:f5:a7
260706-18:52:22.909236 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-18:52:22.912481 [mod=RTMESSAGE, lvl=INFO] [tid=2329] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-18:52:22.913890 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-18:52:22.924687 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-18:52:22.929746 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-18:52:22.929993 [mod=RDKCPROVIDER, lvl=INFO] [tid=2329] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-18:52:22.936227 [mod=RTMESSAGE, lvl=INFO] [tid=2357] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

