630
[OneWifi] 260709-20:06:43.998342<I>  process_disassoc_device_event:1776 Disassoc event for mac : b6:59:60:77:25:c4, Removed the entry from hashmap
[OneWifi] 260709-20:08:15.068488<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-20:08:16.113773<I>  process_assoc_device_event:1841 Device b6:59:60:77:25:c4 associated with vapindex 1 associated clients count : 6
[OneWifi] 260709-20:08:16.113805<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.2.AssociatedDeviceNumberOfEntries,0,6,5,2 
[OneWifi] 260709-20:08:16.114936<I>  process_assoc_device_event:1897 LMLite notify:Device.WiFi.AccessPoint.2.AssociatedDevice.6 mac:b6:59:60:77:25:c4
[OneWifi] 260709-20:08:16.115883<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_connect
[OneWifi] 260709-20:08:16.154836<I>  get_client_assoc_request_multi:2700 assoc req frame not found for vap_index:1: sta_mac:b6:59:60:77:25:c4 time:0
[OneWifi] 260709-20:08:46.450060<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-20:08:46.484514<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-20:08:46.485952<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.2.AssociatedDeviceNumberOfEntries,0,5,6,2 
[OneWifi] 260709-20:08:46.486664<I>  process_disassoc_device_event:1776 Disassoc event for mac : b6:59:60:77:25:c4, Removed the entry from hashmap
[OneWifi] 260709-20:08:46.492280<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_disconnect
[OneWifi] 260709-20:08:47.501279<I>  process_assoc_device_event:1841 Device b6:59:60:77:25:c4 associated with vapindex 16 associated clients count : 1
[OneWifi] 260709-20:08:47.501317<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.17.AssociatedDeviceNumberOfEntries,0,1,0,2 
[OneWifi] 260709-20:08:47.501795<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_connect
[OneWifi] 260709-20:08:47.502288<I>  process_assoc_device_event:1897 LMLite notify:Device.WiFi.AccessPoint.17.AssociatedDevice.1 mac:b6:59:60:77:25:c4
[OneWifi] 260709-20:08:47.535959<I>  get_client_assoc_request_multi:2700 assoc req frame not found for vap_index:16: sta_mac:b6:59:60:77:25:c4 time:0
[OneWifi] 260709-20:11:47.446158<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.2.AssociatedDeviceNumberOfEntries,0,4,5,2 
[OneWifi] 260709-20:11:47.447076<I>  process_disassoc_device_event:1776 Disassoc event for mac : b6:59:60:77:25:c4, Removed the entry from hashmap
[OneWifi] 260709-20:14:52.909508<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_auth_req
[OneWifi] 260709-20:14:52.924420<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_assoc_req
[OneWifi] 260709-20:14:53.948699<I>  process_assoc_device_event:1841 Device 78:80:38:d9:b6:5a associated with vapindex 1 associated clients count : 6
[OneWifi] 260709-20:14:53.948731<I>  notify_associated_entries:245: Sending Notification for str:Device.WiFi.AccessPoint.2.AssociatedDeviceNumberOfEntries,0,6,5,2 
[OneWifi] 260709-20:14:53.949326<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_connect
[OneWifi] 260709-20:14:53.949819<I>  process_assoc_device_event:1897 LMLite notify:Device.WiFi.AccessPoint.2.AssociatedDevice.6 mac:78:80:38:d9:b6:5a
[OneWifi] 260709-20:16:24.004179<E>  ap_get_handler 2228 vap index : 0
[OneWifi] 260709-20:16:24.011129<E>  ap_get_handler 2228 vap index : 1
[OneWifi] 260709-20:16:24.017343<E>  ap_get_handler 2228 vap index : 16
[OneWifi] 260709-20:16:25.249611<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:25.250238<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:25.250811<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:25.251327<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:25.262441<I>  Public xfinity vap is disabled
[OneWifi] 260709-20:16:25.263101<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:25.263674<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:25.264207<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.159261<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.159841<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.160301<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.160700<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.171358<I>  Public xfinity vap is disabled
[OneWifi] 260709-20:16:26.171974<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.172485<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.393309<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.510780<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.511349<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.511809<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.512291<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.522164<I>  Public xfinity vap is disabled
[OneWifi] 260709-20:16:26.522756<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:16:26.523323<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:31:24.004230<E>  ap_get_handler 2228 vap index : 0
[OneWifi] 260709-20:31:24.008478<E>  ap_get_handler 2228 vap index : 1
[OneWifi] 260709-20:31:24.014217<E>  ap_get_handler 2228 vap index : 16
[OneWifi] 260709-20:31:25.316504<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:31:25.317209<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:31:25.317861<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:31:25.318457<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:31:25.324406<I>  Public xfinity vap is disabled
[OneWifi] 260709-20:31:25.325053<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:31:25.325634<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:31:25.326267<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
[OneWifi] 260709-20:31:26.233936<I>  events_bus_publish(): bus_event_publish_fn Event wifi_event_monitor_clear_sta_counters
